,Region,State_var,Significance,if_tsfresh,if_log,model,train_rmse_1,train_rmse_2,train_rmse_3,train_rmse_4,train_rmse_5,test_rmse_1,test_rmse_2,test_rmse_3,test_rmse_4,test_rmse_5,train_mape_1,train_mape_2,train_mape_3,train_mape_4,train_mape_5,test_mape_1,test_mape_2,test_mape_3,test_mape_4,test_mape_5,mean_train_rmse,mean_test_rmse,mean_train_mape,mean_test_mape,med_train_rmse,med_test_rmse,med_train_mape,med_test_mape,max_train_rmse,max_test_rmse,max_train_mape,max_test_mape,HL_train_rmse,HL_test_rmse,HL_train_mape,HL_test_mape
1162,C,V_t,3.0,True,False,ALVEN,83.80002489075147,107.3593409028537,82.1386218753705,103.35139122888337,69.3998728128481,106.61379833743698,115.10949697680674,173.65089922360792,139.5609557460117,164.9793546266683,9.16644085845976,11.831245299861333,9.093443268200062,11.000732823637668,7.394411021462261,10.069050179095317,12.817975036723015,14.60544858193797,16.969982903567058,13.396242774832162,89.20985034214144,139.98290098210632,9.697254654324217,13.571739895231104,83.80002489075147,139.5609557460117,9.16644085845976,13.396242774832162,107.3593409028537,173.65089922360792,11.831245299861333,16.969982903567058,88.3796068578509,140.04442580173753,9.612828160661797,13.519516541331187
1163,C,V_t,3.0,True,False,XGB,4.513125972490079,0.0774604139309428,6.292911275587084,4.772880140710801,0.7873086737399192,112.62749450485637,123.07791027575428,151.4370391168423,111.46911574164449,119.7244135944351,0.4757091313434621,0.006841634471069259,0.6686281925989691,0.4851554885241714,0.07992886486935655,10.298707650324397,13.481925271165316,12.9241040750647,12.172773713251248,13.365252782618441,3.288737295291765,123.6671946467065,0.34325266236140567,12.44855269848482,4.513125972490079,119.7244135944351,0.4757091313434621,12.9241040750647,6.292911275587084,151.4370391168423,0.6686281925989691,13.481925271165316,3.1851858447590136,119.7244135944351,0.33773491353501917,12.769013247934843
1164,C,V_t,3.5,True,False,SVR,44.92416114719536,40.28111440723449,44.83650185851841,57.04322716672924,71.06823114878816,105.7174696645116,90.88032756665453,144.654893794779,99.37580478662618,100.0923160961086,5.877975554293477,2.374045300816032,5.6491095415587935,4.854600899395525,5.899024593248855,10.116648199620172,10.913252899930496,11.668336145532557,10.650795516144651,11.658694940141073,51.63064714569314,108.14416238173598,4.930951177862537,11.00154554027379,44.92416114719536,100.0923160961086,5.6491095415587935,10.913252899930496,71.06823114878816,144.654893794779,5.899024593248855,11.668336145532557,50.93986451262383,102.54663722556889,5.366288226844501,10.913252899930496
1165,C,V_t,3.5,True,False,RF,38.06564084440042,37.299767040447854,32.21500458999703,35.65661597532485,32.113387431505934,92.64059842100153,93.93008352318788,152.56520845557623,115.05328820546919,117.00448675682807,3.8967273009645034,3.5459351021762893,3.3876506001421163,3.302185701591726,3.2330567149899303,8.359273584798006,10.633257248887189,12.250182618523962,13.500178145607993,12.664465645141533,35.07008317633522,114.23873307241259,3.4731110839729133,11.481471448591737,35.65661597532485,115.05328820546919,3.3876506001421163,12.250182618523962,38.06564084440042,152.56520845557623,3.8967273009645034,13.500178145607993,35.089514137953174,115.05328820546919,3.4240604018840077,11.648861447014362
1166,C,V_t,3.5,True,False,EN,81.03825856853231,81.72136903645477,80.47658686777626,75.37849861675804,93.38721996300679,99.98937442396601,121.86854449912938,130.36697946691302,108.70233788619743,96.06066972722833,8.87544720315284,8.883979685745283,8.690173705154075,7.683896351556616,9.963024044310137,8.0583885012059,12.077748125467707,12.19511157639117,12.453320769793681,11.151793536344625,82.40038661050563,111.39758120068684,8.81930419798379,11.187272501840615,81.03825856853231,108.70233788619743,8.87544720315284,12.077748125467707,93.38721996300679,130.36697946691302,9.963024044310137,12.453320769793681,81.09897795211552,110.92895946154769,8.823460197933375,11.673452556367899
1167,C,V_t,3.5,True,False,LCEN,111.95176248736021,112.09818850035118,90.11666892085239,89.55238632987307,73.19936944490631,112.05497490136307,124.11528177445732,176.8380293798774,129.0569093099601,181.21625621169687,12.18359070650852,12.432893622489729,9.793179344546388,9.444939781206322,7.811053087482359,11.596139554529033,13.219708478834209,15.454715311961916,15.274298759831552,12.358852829016206,95.38367513666864,144.65629031547095,10.333131308446664,13.580742986834583,90.11666892085239,129.0569093099601,9.793179344546388,13.219708478834209,112.09818850035118,181.21625621169687,12.432893622489729,15.454715311961916,92.64877897262875,146.63561555652996,10.121973354986045,13.525427433245476
1168,C,V_t,3.5,True,False,ALVEN,83.80000845966005,107.51647778533825,82.04382551266207,104.1887146488203,76.72925253888639,106.61377899609869,115.1880197792603,175.0590782070299,139.76019270728338,173.2211267548537,9.166439937376536,11.841553924885535,9.076848777470783,11.0629002745706,8.32156019526645,10.069043737416488,12.797111479430233,14.679851454824027,16.977781033550194,12.822462205160274,90.85565578907341,141.9684392889052,9.89386062191398,13.469249982076244,83.80000845966005,139.76019270728338,9.166439937376536,12.822462205160274,107.51647778533825,175.0590782070299,11.841553924885535,16.977781033550194,92.12286516211232,140.8364286015643,10.06987452602069,13.52341238548334
1169,C,V_t,3.5,True,False,XGB,4.270121221696887,5.100575028466816,5.85770626551504,4.836478321440334,6.4035515051052965,112.82511273875507,75.6256392088848,146.90356861029625,110.04682868869016,105.02084772594895,0.4577369988242222,0.5701003797809346,0.6313908124032026,0.5066391713253012,0.6542185383018734,10.338796184433134,9.012413726032838,12.653954580993743,12.105067672661788,11.67020559779264,5.293686468444875,110.08439939451505,0.5640171801271069,11.156087552382829,5.100575028466816,110.04682868869016,0.5701003797809346,11.67020559779264,6.4035515051052965,146.90356861029625,0.6542185383018734,12.653954580993743,5.336836363401092,110.04682868869016,0.569014991864252,11.22193192854746
1170,C,V_t,4.0,True,False,SVR,54.50719489984393,55.83792298417671,70.00495124071341,57.96948570116836,74.11530775027566,93.43061266196244,86.72892816858972,135.86498471967744,100.40815820580019,101.10163875464615,5.133747806412994,4.154412373849432,6.299179880797041,4.8467283820480365,7.650662374410517,9.036137759104172,10.059603146943655,11.081942508720687,10.715907633254375,11.841566125983245,62.48697251523561,103.50686450213519,5.616946163503604,10.547031434801227,57.96948570116836,100.40815820580019,5.133747806412994,10.715907633254375,74.11530775027566,135.86498471967744,7.650662374410517,11.841566125983245,62.92143711244506,100.40815820580019,5.572954131422539,10.57077282783217
1171,C,V_t,4.0,True,False,RF,37.92553789282933,36.81449285000159,32.769562097889114,35.84743507990234,33.26843127925052,91.99604760183433,96.10715363881899,144.55676982714144,116.071796764272,118.02449013040673,3.900849193021266,3.5374853798794303,3.4697708376849423,3.347571493072243,3.336051416082933,8.473865963305906,10.822783262421284,10.498939295029835,13.591939719295288,12.838590492143851,35.32509183997458,113.35125159249472,3.518345663948163,11.245223746439233,35.84743507990234,116.071796764272,3.4697708376849423,10.822783262421284,37.92553789282933,144.55676982714144,3.900849193021266,13.591939719295288,35.34754999535922,116.071796764272,3.4697708376849423,11.032902841300597
