,Region,State_var,Significance,if_tsfresh,if_log,model,train_rmse_1,train_rmse_2,train_rmse_3,train_rmse_4,train_rmse_5,test_rmse_1,test_rmse_2,test_rmse_3,test_rmse_4,test_rmse_5,train_mape_1,train_mape_2,train_mape_3,train_mape_4,train_mape_5,test_mape_1,test_mape_2,test_mape_3,test_mape_4,test_mape_5,mean_train_rmse,mean_test_rmse,mean_train_mape,mean_test_mape,med_train_rmse,med_test_rmse,med_train_mape,med_test_mape,max_train_rmse,max_test_rmse,max_train_mape,max_test_mape,HL_train_rmse,HL_test_rmse,HL_train_mape,HL_test_mape
1396,A,Q_V,5.5,TRUE,TRUE,ALVEN,154.2149451,145.3453906,139.863927,150.9839827,154.7885303,154.7989293,151.9239816,185.2912209,163.8063228,152.3004491,15.12798421,13.85891898,13.09197248,15.15684222,15.18579941,14.24536671,16.10972451,15.42941836,17.40705586,17.91916423,149.0393552,161.6241808,14.48430346,16.22214593,150.9839827,154.7989293,15.12798421,16.10972451,154.7885303,185.2912209,15.18579941,17.91916423,149.7801679,158.053386,14.5078806,16.10972451
309,A,t_V,0,TRUE,FALSE,LCEN,105.0736819,105.6204216,91.57020149,97.36937442,111.7024559,156.0166676,138.0542707,196.7886962,210.0296425,139.7676465,11.679511,11.11468568,9.67054782,10.37544011,12.06638611,14.49230287,15.78694998,16.90947972,20.72567653,15.33362799,102.2672271,168.1313847,10.98131414,16.64960742,105.0736819,156.0166676,11.11468568,15.78694998,111.7024559,210.0296425,12.06638611,20.72567653,101.6363287,168.2781714,11.02747555,16.12155386
1276,A,Q_V,4,FALSE,TRUE,ALVEN,119.7905548,137.7077333,128.3371299,149.0115688,72.72755002,167.2451346,146.5948487,185.834026,159.9148404,186.6298723,11.7763001,13.28582042,12.32374621,14.93538072,6.941790443,14.19407592,15.88353525,15.08939587,17.15426141,18.810467,121.5149074,169.2437444,11.85260758,16.22634709,128.3371299,167.2451346,12.32374621,15.88353525,149.0115688,186.6298723,14.93538072,18.810467,128.3371299,167.2451346,12.32374621,16.12182864
1547,A,t_V,1,TRUE,TRUE,XGB,13.11081154,5.213941849,2.953761025,0.120201751,0.143318538,119.3356277,138.0557734,196.5474601,132.7429846,162.3292304,1.413783969,0.499374784,0.301322066,0.008992183,0.013165142,12.30008237,15.63264033,16.13101556,18.07433326,19.38988613,4.308406941,149.8022152,0.447327629,16.30559153,2.953761025,138.0557734,0.301322066,16.13101556,13.11081154,196.5474601,1.413783969,19.38988613,2.953761025,147.5361075,0.301322066,16.13101556
1383,A,Q_V,4.5,TRUE,TRUE,LCEN,135.9857016,134.8388713,138.824677,138.9842368,139.0205716,153.4668276,156.8173829,184.5960528,167.6956647,151.9893204,13.26264258,12.89234197,12.87139848,13.70846077,13.17414023,14.57385553,16.90458654,15.36104819,16.71023365,17.2315926,137.5308117,162.9130497,13.18179681,16.1562633,138.824677,156.8173829,13.17414023,16.71023365,139.0205716,184.5960528,13.70846077,17.2315926,137.4849692,160.5812462,13.17414023,16.13281737
1389,A,Q_V,5,TRUE,TRUE,LCEN,135.9857016,134.8388713,138.824677,138.9842368,139.0205716,153.4668276,156.8173829,184.5960528,167.6956647,151.9893204,13.26264258,12.89234197,12.87139848,13.70846077,13.17414023,14.57385553,16.90458654,15.36104819,16.71023365,17.2315926,137.5308117,162.9130497,13.18179681,16.1562633,138.824677,156.8173829,13.17414023,16.71023365,139.0205716,184.5960528,13.70846077,17.2315926,137.4849692,160.5812462,13.17414023,16.13281737
207,A,t_V,0,FALSE,FALSE,LCEN,94.99511275,110.8814301,86.73740517,117.8643745,116.8208331,177.9315968,118.2255533,218.2459223,131.587967,146.0583779,10.18568389,11.55086705,9.609717778,11.76943977,12.59757914,15.60263956,14.22553475,17.03430807,16.66399737,16.50903202,105.4598311,158.4098835,11.14265753,16.00710235,110.8814301,146.0583779,11.55086705,16.50903202,117.8643745,218.2459223,12.59757914,17.03430807,105.9079729,154.7597819,11.10364846,16.13331847
217,A,t_V,1,FALSE,FALSE,RF,35.92936715,37.66710697,34.01409807,73.65365549,96.74554193,117.6784858,133.4189104,185.4495736,138.0906098,145.1201114,3.687745179,3.586546861,3.358830494,7.790490867,10.58274478,11.66315021,16.150747,15.690541,18.12212895,16.59440252,55.60195392,143.9515382,5.801271637,15.64419394,37.66710697,138.0906098,3.687745179,16.150747,96.74554193,185.4495736,10.58274478,18.12212895,54.79151132,139.2695109,5.688518864,16.14247176
1621,A,t_V,7.5,TRUE,TRUE,RF,36.37657608,40.53699879,36.22559029,39.98028585,33.65776761,129.466859,148.0162954,178.1483204,151.2507668,141.1593424,3.546635808,3.562741987,3.495600432,3.479010148,3.379811371,13.16412289,16.95681824,16.15464006,16.16121279,17.76053476,37.35544372,149.6083168,3.492759949,16.03946575,36.37657608,148.0162954,3.495600432,16.16121279,40.53699879,178.1483204,3.562741987,17.76053476,37.0973832,148.0162954,3.495600432,16.16121279
1270,A,Q_V,3.5,FALSE,TRUE,ALVEN,108.9481295,137.6447776,127.7666868,145.3994161,78.73033465,190.1167804,146.7570232,186.7390426,157.0678802,180.4756638,10.90544837,13.28036338,12.27633855,14.58224566,7.464747484,14.61624208,15.90000615,15.19298029,17.14020007,18.15078258,119.6978689,172.231278,11.70182869,16.20004223,127.7666868,180.4756638,12.27633855,15.90000615,145.3994161,190.1167804,14.58224566,18.15078258,123.2964536,171.9034614,12.09290588,16.16659018
