seq_num,rpt_low_life,rpt_med_life,regu_life,regu_knee,q_throughput,e_throughput
284,1416.84952,1366.918732,1140,812,255.9668274,1024.36084
285,,1247.399747,999,793,226.6516418,903.6763306
286,1086.87105,1084.300142,1016,808,229.6397858,903.1633301
287,1272.558851,1249.920292,1093,689,244.0868683,966.2169189
288,982.0938691,971.9930232,903,742,199.5441742,786.6642456
289,1009.497231,974.7552003,798,366,174.620636,685.989502
290,926.4659114,915.5328855,866,740,192.368103,756.8707886
291,,,1067,744,230.9147644,924.1812134
292,,,1331,685,283.534668,1138.273193
293,1189.652444,1184.379984,1120,744,245.704895,967.2846069
294,990.3871225,983.2680494,885,506,195.0358734,766.8187256
295,957.6666589,918.693922,760,357,164.7568207,652.4187012
296,976.3636953,971.1692648,906,564,199.5262604,783.2845459
297,834.4260149,816.242685,707,364,156.2556458,613.5408325
299,892.4611512,864.6700609,755,360,165.4013672,650.4454956
300,,1024.345035,820,362,177.5816803,705.6115112
301,1112.071743,1099.093965,985,497,213.0952759,842.6090088
302,1088.899105,1083.399199,1001,470,218.766098,860.8789673
303,1315.42829,1300.665212,1216,623,262.5531616,1036.157104
304,1191.321195,1177.7929,1060,409,228.5375061,903.8458252
305,976.5719001,973.2825403,909,737,202.0340576,796.7418213
306,1109.601712,1100.99819,1027,473,224.0146332,883.0679321
307,1109.728772,1096.454325,981,413,208.0476227,819.5361328
308,972.462443,967.0851502,893,744,197.137207,777.4447021
309,977.1860549,955.173185,764,360,165.9705353,655.6052856
310,1094.205342,1075.677655,873,401,187.7935028,742.1954956
311,1152.123865,1110.565919,874,394,189.030899,751.9382324
312,,910.0472501,756,369,169.1429749,664.6644897
313,874.5442238,846.3129059,718,359,158.0515137,621.5907593
314,774.1095021,740.4898024,613,460,139.0788422,547.0718384
315,,,966,532,210.3845825,826.335144
316,1019.085489,1006.105821,954,494,208.05867,830.5413208
317,995.2095995,980.5465091,859,461,184.0374603,725.1386719
318,793.3728766,754.1671026,589,294,133.350647,524.5145874
319,763.1864394,758.6084138,712,368,158.2378693,621.6082764
320,704.0215271,672.442942,544,374,119.8731766,471.2145081
321,1128.75457,1063.327525,815,463,180.7395477,717.4602661
322,1001.282055,988.8853862,885,573,194.8729248,770.8743896
323,961.7284337,958.1946433,875,721,192.6507874,756.2442627
